Player name,Rating,Won,Draw,Lost,Last Online,Joined
sora369258,1344,34,7,12,16-01-2023,12-11-2021
Chika_Angela,1344,746,53,660,16-01-2023,13-06-2021
Nastyboy2,1344,18,2,16,01-07-2021,12-06-2021
honyarara,1344,14,0,7,25-03-2021,19-03-2021
milkmanthesixth,1344,692,68,674,16-01-2023,21-02-2021
Meirbanano,1344,69,14,70,16-01-2023,02-02-2021
lucianosakay,1343,170,9,119,16-01-2023,18-04-2020
FuriousRustam,1343,831,92,1034,09-12-2022,28-01-2020
TexasMostWanted,1343,72,3,4,16-01-2023,26-09-2011
Cheenaboy,1343,47,4,29,20-05-2022,26-01-2017
skydreams8888888,1343,110,11,93,16-01-2023,01-10-2022
Raita64,1343,83,4,47,08-11-2022,11-05-2022
goshi1212,1343,509,24,428,16-01-2023,13-12-2013
KoNicHiwaOnichAn,1343,145,8,111,16-01-2023,16-07-2021
Rayleigh99,1343,218,21,150,21-07-2022,29-03-2021
fuwafuwafu,1342,673,34,574,16-01-2023,28-09-2020
mikasa26,1342,98,8,104,12-11-2022,02-12-2019
T_Usui,1342,214,19,187,10-12-2022,27-09-2019
kyla0518,1342,207,10,191,30-12-2021,29-05-2019
8K1NG8,1342,50,3,28,16-01-2023,17-11-2022
BishalGenuine,1342,22,1,9,20-06-2022,10-05-2022
CamelFortress,1342,229,25,203,11-11-2022,31-03-2022
Gawr_Gura-productionEN,1342,21,1,4,16-01-2023,07-01-2022
bonyosaaboyo,1342,111,16,81,16-01-2023,01-06-2021
kerassekali,1342,83,4,24,18-06-2021,29-03-2021
Matatabi_99s,1342,162,20,124,16-01-2023,02-02-2021
sobbydilly,1342,24,2,55,20-10-2021,23-01-2021
Kawalt1014,1341,256,14,215,16-01-2023,23-07-2020
abel083,1341,44,6,26,13-04-2022,30-06-2020
kurukuru12,1341,774,42,583,11-10-2022,20-01-2020
umacchi,1341,308,21,286,16-01-2023,30-12-2019
maningen,1341,36,5,24,16-01-2023,16-12-2014
TipsuVitsu,1341,157,15,104,16-01-2023,06-01-2021
CalinKuroda,1341,769,108,768,16-01-2023,01-01-2021
S2rainzz,1340,75,7,58,07-06-2022,13-05-2020
umao123,1340,441,41,409,16-01-2023,23-12-2019
ohmygodimabest,1340,16,1,30,06-11-2021,21-08-2015
MirayTomura,1340,40,1,14,16-01-2023,02-12-2022
TokyoMontanaExpress,1340,2553,201,2563,16-01-2023,16-01-2014
SReika,1340,759,60,667,16-01-2023,26-09-2021
Downy_surf,1340,101,3,92,16-01-2023,14-09-2021
Tape4u,1340,461,44,393,16-01-2023,04-09-2021
st01234,1340,18,2,19,21-11-2021,21-07-2021
NoelSenpai69,1340,1072,153,950,16-01-2023,15-06-2021
manoky,1340,8,0,14,16-01-2023,10-10-2013
rookfrancis,1340,227,29,235,29-08-2021,28-11-2020
Herbie44,1339,43,5,33,16-01-2023,22-09-2020
gleb20202,1339,426,34,417,16-01-2023,12-06-2020
haruki_heisei25,1339,125,11,111,16-01-2023,26-05-2020
Niwleda,1339,162,20,98,16-01-2023,03-05-2019
gamma_flash,1339,106,6,83,16-09-2022,02-02-2022
GreatestgamerLB,1339,74,1,64,16-01-2023,20-01-2022
brohannesjahms,1339,1508,135,1378,06-09-2022,17-02-2021
Monroet,1338,21,1,14,20-07-2021,26-10-2020
pandapablo,1338,1722,96,1699,16-01-2023,03-07-2020
misono815,1338,620,49,562,16-01-2023,30-06-2020
Calme12,1338,18,1,15,15-09-2021,21-03-2019
